date,KO,PEP
1972-11-15,0.0314205698668957,0.393307000398636
1972-11-16,0.0315577797591686,0.395577162504196
1972-11-17,0.0315028689801693,0.408062934875488
1972-11-20,0.0315028689801693,0.408062934875488
1972-11-21,0.0316126383841038,0.400117665529251
1972-11-22,0.0315028689801693,0.401252776384354
1972-11-24,0.0316126383841038,0.400684982538223
1972-11-27,0.0314277186989784,0.401820033788681
1972-11-28,0.0316478982567787,0.399550080299377
1972-11-29,0.0315928235650063,0.398414939641953
1972-11-30,0.0313726551830769,0.395577162504196
1972-12-01,0.0314277186989784,0.395577162504196
1972-12-04,0.0319230891764164,0.397853821516037
1972-12-05,0.0321432203054428,0.400130689144135
1972-12-06,0.0321432203054428,0.404115080833435
1972-12-07,0.0324184261262417,0.409237593412399
1972-12-08,0.0323633998632431,0.407529771327972
